"Species.Name","AOU","Region","Region.Name","shrunk_trend","shrunk_trend_lci","shrunk_trend_uci","Original_Trend","Original_Trend_lci","Original_Trend_uci"
"Pied-billed Grebe",60,"S28","Appalachian Mountains                   ",-0.675969488008361,-2.94374757827456,1.67922953542627,-0.82,-3.58,1.55
"Herring Gull",510,"S28","Appalachian Mountains                   ",-0.550311807312431,-3.80866385096758,2.74268466454069,-0.85,-6.2,2.41
"Ring-billed Gull",540,"S28","Appalachian Mountains                   ",2.26667231588547,-1.34405010506376,5.96006498111157,4.34,-0.77,9.73
"Double-crested Cormorant",1200,"S28","Appalachian Mountains                   ",4.39641047443338,1.14394899904137,7.72904568323771,6.95,2.75,11.3
"Common Merganser",1290,"S28","Appalachian Mountains                   ",5.70911250224701,3.41860594535899,7.93665477402256,6.82,4.54,9.5
"Hooded Merganser",1310,"S28","Appalachian Mountains                   ",4.56214783546279,2.45962523970424,6.71078479751165,5.31,3.15,7.75
"American Black Duck",1330,"S28","Appalachian Mountains                   ",-2.72057993068963,-5.48175802602301,0.150751644133079,-3.75,-7.04,-0.33
"Blue-winged Teal",1400,"S28","Appalachian Mountains                   ",-1.53884737983523,-5.03327441806086,2.10739361143612,-2.79,-7.69,2.03
"Wood Duck",1440,"S28","Appalachian Mountains                   ",1.04827448999479,0.239190562871973,1.85990860652467,1.08,0.28,1.9
"Canada Goose",1720,"S28","Appalachian Mountains                   ",8.49556689197378,5.55122294013533,11.4991408294973,11.6,7.47,14.42
"Mute Swan",1782,"S28","Appalachian Mountains                   ",2.2137864218232,-1.45718649320187,6.03515923452155,4.36,-0.58,9.92
"American Bittern",1900,"S28","Appalachian Mountains                   ",-1.69897959266876,-4.20904142298596,0.774418674532576,-2.1,-5.3,0.28
"Great Egret",1960,"S28","Appalachian Mountains                   ",3.47868872731967,-0.0769941511209024,7.08611089317312,6.35,1.52,11.46
"Little Blue Heron",2000,"S28","Appalachian Mountains                   ",-1.84503508238319,-4.97898059052751,1.33936273874959,-2.75,-7.13,0.52
"Cattle Egret",2001,"S28","Appalachian Mountains                   ",0.944703408458037,-4.01931370078905,6.16908142577111,9.61,-0.67,34.89
"Green Heron",2010,"S28","Appalachian Mountains                   ",-1.26376030344104,-1.72906387856155,-0.798447808811955,-1.27,-1.75,-0.81
"Black-crowned Night-Heron",2020,"S28","Appalachian Mountains                   ",-0.635537542601966,-3.57499611498402,2.28350044520634,-0.91,-4.32,2.76
"Yellow-crowned Night-Heron",2030,"S28","Appalachian Mountains                   ",-1.20867188716026,-3.60643881919943,1.20110138706941,-1.51,-4.53,0.87
"Virginia Rail",2120,"S28","Appalachian Mountains                   ",0.38827122569187,-2.45333498737053,3.19159858347723,0.57,-1.29,5.31
"Sora",2140,"S28","Appalachian Mountains                   ",-0.12545588818863,-3.43183444677239,3.39415256196535,-0.09,-4.44,4.49
"American Coot",2210,"S28","Appalachian Mountains                   ",-1.43728772549249,-5.31399508359981,2.74862719413739,-3.44,-10.04,2.59
"American Woodcock",2280,"S28","Appalachian Mountains                   ",-1.27854592613171,-2.58040956925508,-0.0522894360350908,-1.34,-2.74,-0.1
"Wilson's Snipe",2300,"S28","Appalachian Mountains                   ",-0.803414775434425,-3.4595727789531,1.85714010478567,-1.03,-3.83,2.14
"Upland Sandpiper",2610,"S28","Appalachian Mountains                   ",-4.36266405928505,-6.86481470113681,-1.82842796744116,-5.75,-8.88,-2.99
"Spotted Sandpiper",2630,"S28","Appalachian Mountains                   ",-4.99585921870782,-6.14254581585508,-3.88113647476246,-5.25,-6.41,-4.11
