Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
 R, Y, R, R,  ,1770,S20,Black-bellied Whistling-Duck            ,                                        , DD,8,5.175,-4.163,14.804,0.091
 Y,  , Y,  ,  ,1770,S21,Black-bellied Whistling-Duck            ,                                        , DD,31,1.986,-1.706,5.946,3.731
 R, Y, R, R,1,1770,S25,Black-bellied Whistling-Duck            ,                                        , DD,9,19.36,7.887,34.109,0.033
 R,  , R, Y,1,1770,S26,Black-bellied Whistling-Duck            ,                                        , DD,18,27.422,16.658,41.516,0.164
 R,  , R, R,1,1770,S27,Black-bellied Whistling-Duck            ,                                        , DD,18,27.161,14.765,42.26,0.017
 R,  , R, Y,1,1770,S31,Black-bellied Whistling-Duck            ,                                        , DD,36,33.198,25.253,42.666,0.286
 R, R, R, Y,  ,1770,S34,Black-bellied Whistling-Duck            ,                                        , DD,3,-5.689,-19.15,8.366,0.185
 Y,  , Y,  ,  ,1770,S36,Black-bellied Whistling-Duck            ,                                        , DD,26,-1.795,-6.036,2.478,40.66
 Y,  , Y,  ,  ,1770,S37,Black-bellied Whistling-Duck            ,                                        , DD,34,2.292,-1.764,6.471,53.201
 R, R, R, Y,  ,1770,ARI,Black-bellied Whistling-Duck            ,                                        , DD,3,-5.689,-19.15,8.366,0.185
 R, Y, R, R,1,1770,ARK,Black-bellied Whistling-Duck            ,                                        , DD,8,19.29,7.502,36.626,0.06
 R,  , R, Y,1,1770,FLA,Black-bellied Whistling-Duck            ,                                        , DD,43,32.537,25.123,41.28,0.191
 R, Y, R, R,1,1770,GA ,Black-bellied Whistling-Duck            ,                                        , DD,11,28.744,13.625,50.394,0.017
 R,  , R,  ,1,1770,LA ,Black-bellied Whistling-Duck            ,                                        , DD,28,27.157,18.061,38.598,1.044
  ,  ,  ,  ,  ,1770,TEX,Black-bellied Whistling-Duck            ,                                        , DD,90,0.03,-2.808,2.893,18.137
