species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Nothocercus bonapartei,Highland Tinamou,Nothocercus bonapartei,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,64,Nothocercus bonapartei,Highland Tinamou,Nothocercus bonapartei,Nothocercus bonapartei,Nothocercus bonapartei
Tinamus major,Great Tinamou,Tinamus major,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,50,Tinamus major,Great Tinamou,Tinamus major,Tinamus major,Tinamus major
Crypturellus soui,Little Tinamou,Crypturellus soui,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,76,Crypturellus soui,Little Tinamou,Crypturellus soui,Crypturellus soui,Crypturellus soui
Crypturellus cinnamomeus,Thicket Tinamou,Crypturellus cinnamomeus,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,126,Crypturellus cinnamomeus,Eastern Thicket Tinamou,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus cinnamomeus
Crypturellus boucardi,Slaty-breasted Tinamou,Crypturellus boucardi,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,137,Crypturellus boucardi,Slaty-breasted Tinamou,Crypturellus boucardi,Crypturellus boucardi,Crypturellus boucardi
Crypturellus kerriae,Choco Tinamou,Crypturellus kerriae,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,140,Crypturellus kerriae,Choco Tinamou,Crypturellus kerriae,Crypturellus kerriae,Crypturellus kerriae
Dendrocygna autumnalis,Black-bellied Whistling-Duck,Dendrocygna autumnalis,PM,NA,7.357,BBS7017,5.93,8.75,Neotropical,Neotropical,Wetlands—Generalist,,Wetlands—Generalist,,1464,Dendrocygna autumnalis,Black-bellied Whistling-duck,Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis
Dendrocygna bicolor,Fulvous Whistling-Duck,Dendrocygna bicolor,PM,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,Coasts—Saltmarsh,1469,Dendrocygna bicolor,Fulvous Whistling-duck,Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor
Anser canagicus,Emperor Goose,Anser canagicus,M,NA,0.4,CAFF8515,0.26,0.54,Arctic,Pacific North America,Coasts—Saltmarsh,,Coasts—Marine Waters,Coasts—Rocky Intertidal,1505,Anser canagicus,Emperor Goose,Anser canagicus,Anser canagicus,Anser canagicus
Anser caerulescens,Snow Goose,Anser caerulescens,M,NA,6.052227727,CAFF7514,5.912227727,6.192227727,Arctic,Nearctic,Wetlands—Tundra,Tundra—Arctic,Wetlands—Generalist,,1507,Anser caerulescens,Snow Goose,Anser caerulescens,Anser caerulescens,Anser caerulescens
